co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01
349708,DIREITO,FURG,Rio Grande,RS,731.59,739.25
349698,DIREITO,FURG,Rio Grande,RS,739.47,741.74
362840,DIREITO,IFSEMG,Rio Pomba,MG,728.98,728.98
363006,DIREITO,UEAP,Macapá,AP,749.96,752.9
359269,DIREITO,UEFS,Feira de Santana,BA,736.34,738.08
344808,DIREITO,UEL,Londrina,PR,801.5,801.5
349443,DIREITO,UEM,Maringá,PR,760.32,761.48
349469,DIREITO,UEM,Maringá,PR,767.34,766.94
355959,DIREITO,UEMG,Guanhães,MG,700.6,711.1
355852,DIREITO,UEMG,Ituiutaba,MG,704.02,712.8
355926,DIREITO,UEMG,Frutal,MG,712.18,715.82
356008,DIREITO,UEMG,Cláudio,MG,714.22,717.76
355945,DIREITO,UEMG,Diamantina,MG,716.04,724.38
355929,DIREITO,UEMG,Ituiutaba,MG,717.22,718.78
355909,DIREITO,UEMG,Passos,MG,718.3,722.04
355894,DIREITO,UEMG,Passos,MG,727.08,727.08
355918,DIREITO,UEMG,Frutal,MG,727.9,731.3
355924,DIREITO,UEMG,Diamantina,MG,729.34,724.28
355880,DIREITO,UEMG,Araguari,MG,731.26,732.06
355912,DIREITO,UEMG,Belo Horizonte,MG,745.02,750.38
357028,DIREITO,UEMS,Paranaíba,MS,687.17,701.77
357118,DIREITO,UEMS,Bataguassu,MS,689.82,703.55
357103,DIREITO,UEMS,Jardim,MS,696.55,699.37
357043,DIREITO,UEMS,Naviraí,MS,696.67,704.88
357027,DIREITO,UEMS,Paranaíba,MS,697.08,703.25
357111,DIREITO,UEMS,Aquidauana,MS,697.32,708.46
357029,DIREITO,UEMS,Dourados,MS,711.37,721.1
357117,DIREITO,UEMS,Campo Grande,MS,741.77,741.99
351594,DIREITO,UENP,Jacarezinho,PR,748.7,748.7
351609,DIREITO,UENP,Jacarezinho,PR,750.0,750.0
349880,DIREITO,UEPB,Guarabira,PB,689.61,701.54
349876,DIREITO,UEPB,Guarabira,PB,695.19,705.48
349884,DIREITO,UEPB,Campina Grande,PB,724.59,726.7
349888,DIREITO,UEPB,João Pessoa,PB,728.05,733.39
349877,DIREITO,UEPB,Campina Grande,PB,732.26,732.26
346421,DIREITO,UERN,Mossoró,RN,728.49,728.25
346448,DIREITO,UERN,Natal,RN,728.68,731.9
346420,DIREITO,UERN,Mossoró,RN,730.77,734.22
346447,DIREITO,UERN,Natal,RN,737.56,737.16
357521,DIREITO,UESB,Vitória da Conquista,BA,741.74,748.9
357520,DIREITO,UESB,Vitória da Conquista,BA,747.63,753.51
348940,DIREITO,UESC,Ilhéus,BA,724.78,728.27
348968,DIREITO,UESC,Ilhéus,BA,735.53,735.53
363159,DIREITO,UESPI,Corrente,PI,673.28,683.97
363185,DIREITO,UESPI,Bom Jesus,PI,682.14,686.81
363174,DIREITO,UESPI,Floriano,PI,686.55,696.72
363158,DIREITO,UESPI,Piripiri,PI,689.68,688.34
363097,DIREITO,UESPI,Picos,PI,698.39,702.42
363098,DIREITO,UESPI,Teresina,PI,714.05,720.76
363101,DIREITO,UESPI,Parnaíba,PI,716.67,715.61
363100,DIREITO,UESPI,Teresina,PI,717.15,719.68
363099,DIREITO,UESPI,Teresina,PI,722.95,725.53
362552,DIREITO,UFAL,Maceió,AL,732.34,734.66
362551,DIREITO,UFAL,Maceió,AL,737.74,740.14
368771,DIREITO,UFAM,Manaus,AM,747.04,748.28
368770,DIREITO,UFAM,Manaus,AM,749.48,750.89
361446,DIREITO,UFBA,Salvador,BA,734.77,734.63
361447,DIREITO,UFBA,Salvador,BA,745.55,744.12
365598,DIREITO,UFC,Fortaleza,CE,769.84,770.06
365556,DIREITO,UFC,Fortaleza,CE,776.12,778.64
351784,DIREITO,UFCG,Sousa,PB,689.6,695.9
351730,DIREITO,UFCG,Sousa,PB,691.88,696.38
351767,DIREITO,UFCG,Sousa,PB,696.66,705.3
346948,DIREITO,UFERSA,Mossoró,RN,737.9,739.97
366083,DIREITO,UFES,Vitória,ES,752.94,753.04
354874,DIREITO,UFF,Niterói,RJ,720.31,721.81
354875,DIREITO,UFF,Niterói,RJ,734.57,734.57
354916,DIREITO,UFF,Macaé,RJ,737.03,745.17
354984,DIREITO,UFF,Volta Redonda,RJ,767.51,769.62
367688,DIREITO,UFG,Goiás,GO,757.07,763.81
367678,DIREITO,UFG,Goiânia,GO,782.9,782.9
367677,DIREITO,UFG,Goiânia,GO,795.1,793.82
350298,DIREITO,UFGD,Dourados,MS,731.96,732.86
355401,DIREITO,UFJ,Jataí,GO,736.79,741.73
356306,DIREITO,UFJF,Governador Valadares,MG,734.5,737.22
356144,DIREITO,UFJF,Juiz de Fora,MG,740.12,747.1
356128,DIREITO,UFJF,Juiz de Fora,MG,755.94,758.92
369327,DIREITO,UFLA,Lavras,MG,749.96,755.38
347839,DIREITO,UFMA,Imperatriz,MA,726.3,730.32
347892,DIREITO,UFMA,Imperatriz,MA,733.3,734.28
347828,DIREITO,UFMA,São Luís,MA,733.32,736.56
347845,DIREITO,UFMA,São Luís,MA,750.42,751.22
361039,DIREITO,UFMG,Belo Horizonte,MG,768.78,770.18
361038,DIREITO,UFMG,Belo Horizonte,MG,782.34,782.32
366595,DIREITO,UFMS,Coxim,MS,726.06,733.53
366538,DIREITO,UFMS,Corumbá,MS,735.43,738.12
366517,DIREITO,UFMS,Três Lagoas,MS,754.44,774.46
366516,DIREITO,UFMS,Três Lagoas,MS,774.46,752.58
366518,DIREITO,UFMS,Campo Grande,MS,795.92,795.92
366519,DIREITO,UFMS,Campo Grande,MS,802.97,802.97
365240,DIREITO,UFMT,Barra do Garças,MT,707.8,715.54
363496,DIREITO,UFMT,Cuiabá,MT,734.24,737.78
363495,DIREITO,UFMT,Cuiabá,MT,744.28,747.86
349417,DIREITO,UFNT,Tocantinópolis,TO,675.09,681.14
343390,DIREITO,UFOB,Barreiras,BA,731.74,737.46
365475,DIREITO,UFOP,Ouro Preto,MG,739.36,741.75
365474,DIREITO,UFOP,Ouro Preto,MG,746.81,749.17
354460,DIREITO,UFPB,Santa Rita,PB,700.34,705.66
354457,DIREITO,UFPB,Santa Rita,PB,708.06,716.24
354488,DIREITO,UFPB,João Pessoa,PB,734.88,738.64
354521,DIREITO,UFPB,João Pessoa,PB,747.7,750.88
363939,DIREITO,UFPE,Recife,PE,764.8,765.0
363938,DIREITO,UFPE,Recife,PE,776.44,775.68
360928,DIREITO,UFPEL,Pelotas,RS,720.44,723.56
368086,DIREITO,UFPI,Teresina,PI,736.26,743.75
368087,DIREITO,UFPI,Teresina,PI,749.2,749.66
367035,DIREITO,UFPR,Curitiba,PR,780.36,782.06
367034,DIREITO,UFPR,Curitiba,PR,785.9,788.46
356222,DIREITO,UFR,Rondonópolis,MT,712.26,706.4
358957,DIREITO,UFRJ,Rio de Janeiro,RJ,776.77,780.4
358958,DIREITO,UFRJ,Rio de Janeiro,RJ,784.1,784.5
367976,DIREITO,UFRN,Caicó,RN,709.81,710.89
367658,DIREITO,UFRN,Natal,RN,723.16,725.02
367657,DIREITO,UFRN,Natal,RN,735.11,738.42
346067,DIREITO,UFRR,Boa Vista,RR,709.84,704.5
369259,DIREITO,UFRRJ,Três Rios,RJ,740.95,743.6
369257,DIREITO,UFRRJ,Seropédica,RJ,744.6,746.77
369258,DIREITO,UFRRJ,Nova Iguaçu,RJ,749.5,751.62
365334,DIREITO,UFS,São Cristóvão,SE,773.26,773.9
365333,DIREITO,UFS,São Cristóvão,SE,779.62,779.87
368364,DIREITO,UFSB,Porto Seguro,BA,746.86,782.9
344239,DIREITO,UFSC,Florianópolis,SC,766.4,768.08
344316,DIREITO,UFSC,Florianópolis,SC,771.69,771.99
361618,DIREITO,UFSM,Santa Maria,RS,764.12,774.48
361848,DIREITO,UFSM,Santa Maria,RS,766.92,755.4
367343,DIREITO,UFT,Arraias,TO,680.53,692.58
367291,DIREITO,UFT,Palmas,TO,713.39,719.18
362180,DIREITO,UFU,Uberlândia,MG,766.13,768.01
362179,DIREITO,UFU,Uberlândia,MG,776.17,777.92
368619,DIREITO,UFV,Viçosa,MG,747.04,745.34
346197,DIREITO,UNEAL,Maceió,AL,738.13,739.82
346182,DIREITO,UNEAL,Arapiraca,AL,746.28,747.39
367008,DIREITO,UNEB,Irecê,BA,715.09,720.26
366926,DIREITO,UNEB,Brumado,BA,720.16,725.22
366805,DIREITO,UNEB,Jacobina,BA,725.74,731.79
366815,DIREITO,UNEB,Paulo Afonso,BA,726.36,727.82
366821,DIREITO,UNEB,Valença,BA,726.4,726.4
366975,DIREITO,UNEB,Guanambi,BA,726.41,724.62
366944,DIREITO,UNEB,Itaberaba,BA,728.96,729.5
366802,DIREITO,UNEB,Salvador,BA,734.78,734.71
366801,DIREITO,UNEB,Salvador,BA,746.33,742.31
366724,DIREITO,UNEB,Juazeiro,BA,754.07,753.21
356473,DIREITO,UNEMAT,Barra do Bugres,MT,680.35,695.1
356472,DIREITO,UNEMAT,Pontes e Lacerda,MT,683.52,685.66
356431,DIREITO,UNEMAT,Diamantino,MT,688.58,691.08
356260,DIREITO,UNEMAT,Cáceres,MT,698.22,704.96
356474,DIREITO,UNEMAT,Alta Floresta,MT,701.65,705.62
367637,DIREITO,UNESPAR,Paranavaí,PR,715.15,722.19
367644,DIREITO,UNESPAR,União da Vitória,PR,723.3,723.3
367641,DIREITO,UNESPAR,Apucarana,PR,733.21,733.21
360728,DIREITO,UNIFESP,Osasco,SP,783.68,786.83
360729,DIREITO,UNIFESP,Osasco,SP,789.87,794.57
349796,DIREITO,UNIFESSPA,Marabá,PA,743.14,743.14
345093,DIREITO,UNIMONTES,Montes Claros,MG,747.89,750.68
345094,DIREITO,UNIMONTES,Montes Claros,MG,748.3,748.43
353527,DIREITO,UNIOESTE,Francisco Beltrão,PR,736.54,746.25
353529,DIREITO,UNIOESTE,Marechal Cândido Rondon,PR,739.01,743.55
353525,DIREITO,UNIOESTE,Foz do Iguaçu,PR,751.84,751.84
347040,DIREITO,UNIPAMPA,São Borja,RS,692.84,694.14
346999,DIREITO,UNIPAMPA,Sant'Ana do Livramento,RS,698.52,706.88
364480,DIREITO,UNIRIO,Rio de Janeiro,RJ,741.68,741.71
353615,DIREITO,UPE,Arcoverde,PE,720.8,726.3
353616,DIREITO,UPE,Recife,PE,754.16,754.5
